item_id,title,description,url,brand,seller_name,image_url,availability,price,sale_price,gtin,mpn,group_id,condition,product_category,weight,item_weight_unit,seller_url,accepts_returns,return_deadline_in_days,return_policy,is_ads_eligible,star_rating,review_count,target_countries,store_country,custom_label_0,custom_label_1,custom_label_2,custom_label_3,identifier_exists
477,Powerlogy Organic Coffee 900 g,"Zmes výberových BIO kávovníkových zŕn 100% arabiky z 3 kontinentov s laboratórnymi testami čistoty zloženia. Veľké balenie BIO zrnkovej kávy 100 % arabica, v chuti figy a čokoláda • BIO zrnková káva bez kyslej dochuti • Pomaly pražená, ideálna pre domáce kávovary • Vhodné pre vegánov aj histaminikov • Balenie obsahuje cca 100 porcií (1 porcia = 9 g) Vlastnosti, vďaka ktorým sa na našu BIO kávu môžete spoľahnúť: 100 % BIO certifikácia a pestovanie bez použitia pesticídov a chemikálií. Detailné laboratórne testy na kontrolu ochratoxínov a aflatoxínov. Pomalé a šetrné praženie na stupeň medium pre silnú, ale vyváženú chuť bez kyslosti. Eliminácia prepraženia a minimalizácia AGE – Advanced Glycation Endoproducts. Čerstvosť a stabilná energia bez negatívnych vplyvov na žalúdok . V Powerlogy sa snažíme urobiť maximum pre vývoj produktov, ktoré v sebe spájajú silu čistej chuti a funkčnosti pre extra energiu a nadpriemerný fyzický i mentálny výkon. Veríme, že kvalitné potraviny menia myslenie, a preto majú všetky naše produkty vysokú výživovú hodnotu. Táto arabica káva spĺňa tie najprísnejšie kritériá kvality pre skutočnú podporu vášho organizmu a potešenie vášho gurmánskeho jazyka. Popis výrobku: BIO pražená zrnková káva, 100 % arabika z ekologického poľnohospodárstva Hmotnosť: 900 g Alergény: Neobsahuje Krajina pôvodu suroviny: El Salvador Vyrobené na: Slovensko",https://powerlogy.com/organic-espresso-2,Powerlogy,Powerlogy,https://media.powerlogy.com/1/live/20260521113643/powerlogy-organic-coffee-singlefarm-900.png,in_stock,39.95 EUR,,8588009019169,70252,,new,Zdravé potraviny > Káva a kakao > Káva > Káva 100% Arabica,1,kg,https://powerlogy.com/,true,14,https://powerlogy.com/o-nakupe/vseobecne-obchodne-podmienky,true,4.74,141,SK,SK,food,káva-100%-arabica,in-stock,single,
499,Powerlogy Organic Coffee 250 g,"Zmes výberových BIO kávovníkových zŕn 100% arabiky z 3 kontinentov s laboratórnymi testami čistoty zloženia. (39,60 €/kg) BIO zrnková káva 100 % arabica, v chuti figy a čokoláda • BIO zrnková káva bez kyslej dochuti • Pomaly pražená, ideálna pre domáce kávovary • Vhodné pre vegánov aj histaminikov • Balenie obsahuje cca 27 porcií (1 porcia = 9 g) Recept: Lahodné TIRAMISU v pohári BEZ výčitiek Tiramisu zbožňujú všetci milovníci kávy a krémových dezertov. Čo tak vyskúšať jeho stále rovnako chutnú, no odľahčenú verziu ? Dezert si môžete pripraviť do pohárov z našich orieškových krémov. Piškótový základ sme nahradili ryžovými chlebíčkami, ktoré sme namáčali v našej pomaly praženej organickej káve . Mascarpone vrstvu sme vymenili za jemný odtučnený tvaroh vyšľahaný s Powerlogy kešu krémom bez cukru . A zlatou bodkou je kakaový posyp na povrchu v podobe nášho nového Upgraded kakaa . Množstvo surovín je na jednu porciu (jeden pohár). Postup: Nachystáme si 3 kusy ryžových chlebíčkov. Z Powerlogy Organic Coffee si pripravíme lungo. 1 odtučnený jemný tvaroh vymiešame s 1 PL Powerlogy Cashew Cream . Do prázdneho pohára z našich 330 g orieškových krémov začneme vrstviť dezert. 1. vrstva: ryžový chlebíček namočený v káve; 2. vrstva: tvarohový krém. V takomto poradí pokračujeme a vrstvenie ukončíme tvarohovou časťou. Na záver ešte tiramisu posypeme Upgraded kakaom a dáme stuhnúť do chladničky. Dobrú chuť! Popis výrobku: BIO pražená zrnková káva, 100 % arabika z ekologického poľnohospodárstva Hmotnosť: 250 g Alergény: Neobsahuje Krajina pôvodu suroviny: El Salvador Vyrobené na: Slovensko",https://powerlogy.com/organic-espresso,Powerlogy,Powerlogy,https://media.powerlogy.com/1/live/20260521113646/powerlogy-organic-coffee-singlefarm-250.png,in_stock,12.95 EUR,10.95 EUR,8588009019152,70251,,new,Zdravé potraviny > Káva a kakao > Káva > Káva 100% Arabica,0.27,kg,https://powerlogy.com/,true,14,https://powerlogy.com/o-nakupe/vseobecne-obchodne-podmienky,true,4.74,141,SK,SK,food,káva-100%-arabica,in-stock,single,
565,Powerlogy Organic MCT Oil 500 ml,"Tovar v súčastnosti naskladňujeme. Prosíme o trpezlivosť pri doručovaní. Špeciálne extrahovaný MCT olej, ktorý obsahuje len najefektívnejšie MCT triglyceridy so stredne dlhým reťazcom pre okamžitú energiu bez akýchkoľvek prídavkov a 100% kokosového pôvodu. (29,80€/l)",https://powerlogy.com/mct-oil-500ml,Powerlogy,Powerlogy,https://media.powerlogy.com/1/live/20240517120307/organic-mct-menej.png,in_stock,19.95 EUR,16.95 EUR,8588009019060,70186,,new,Funkčná výživa > MCT olej > BIO MCT Oleje,0.8,kg,https://powerlogy.com/,true,14,https://powerlogy.com/o-nakupe/vseobecne-obchodne-podmienky,true,4.94,218,SK,SK,food,bio-mct-oleje,in-stock,single,
4307,Powerlogy Almond Cream 330 g,"Chrumkavé a čerstvé mandľové maslo v BIO kvalite z top sicílskych mandlí so štipkou morskej soli bez cukru a konzervantov vyrobené na Slovensku. (43€/kg) Najpredávanejšie balenie mandľového krému s olivovým olejom a štipkou soli • Bez lepku, mlieka a pridaného cukru • Vhodné pre vegánov a vegetariánov • Vhodné pre histaminikov • Balenie obsahuje cca 22 porcií (1 porcia = 15 g) • Len 0,4 g cukru na jednu porciu Vianočný recept: Kakaové linecké koláčiky bez cukru a múky Linecké koláčiky ako tradičné vianočné pečivo, nesmie na štedrovečernom stole chýbať! My sme si pre vás pripravili v spolupráci s niesomzcukru, kakaovú verziu s orieškovým krémom, ktorá je navyše bez cukru a bez použitia múky ! Z tejto dávky vyjde cca 10 kúskov l ineckých koláčikov. Postup: 60 g mandľovej múky, 30 g kokosovej múky, 10 g kakaa, 20 g zmäknutého masla, 1 vajce a 1 PL čakankového sirupu zmiešame v jednej miske a vymiesime hladké cesto. Medzi dvoma papiermi na pečenie vyvaľkáme cesto na hrúbku približne 0,5 cm a vykrajujeme ľubovoľné tvary. Pečieme ich na papieri na pečenie, približne 10 minút pri 190°C. Necháme ich vychladnúť. Vychladnuté koláčiky potierame orieškovým krémom a zlepujeme dokopy. Popis výrobku: Mandľový krém v BIO kvalite s extra panenským olivovým olejom a morskou soľou. Hmotnosť: 330 g Zloženie: BIO mandle 84,8 %, BIO extra panenský olivový olej 15 %, morská soľ 0,2 %. Alergény: Orechy Krajina pôvodu suroviny: Španielsko Vyrobené na: Slovensko",https://powerlogy.com/mandlove-maslo-330g,Powerlogy,Powerlogy,https://media.powerlogy.com/1/live/20260330131439/almond-krem-stredny.webp,in_stock,16.95 EUR,13.95 EUR,8588010284136,70421,,new,Zdravé potraviny > Orieškové krémy a maslá > Mandľové,0.6,kg,https://powerlogy.com/,true,14,https://powerlogy.com/o-nakupe/vseobecne-obchodne-podmienky,true,4.79,135,SK,SK,food,mandľové,in-stock,single,
10646,Powerlogy Organic Ghee Butter 320 ml,"Original GHEE maslo bez laktózy, bielkovín a vody. V yrobené z mlieka od alpských kráv pasúcich sa na tráve. (33,9€/l) BIO ghee maslo v grass fed kvalite s nemeckou certifikáciou DEMETER • Neobsahuje alergény (laboratórne potvrdené) • Vhodné pre histaminikov • Mamičky malých detí si ghee nevedia vynachváliť • Zdroj omega-3 a vitamínov A, D, E, K • Balenie obsahuje cca 32 porcií (1 porcia = 10 g) Recept na zdravý, kurkumový popcorn Máte aj vy radi maškrtenie pri filme či s priateľmi pri letných večeroch? Klasiku ako čerstvo vypukanú kukuricu pozná každý z nás, preto sme sa rozhodli pripraviť ju v odľahčenej verzii s použitím nášho Ghee masla , navyše obohatenú o protizápalovú Powerlogy kurkumu , ktorá jej dodala vynikajúcu chuť. Postup: Do rozohriatého hrnca vložíme 2 lyžice Powerlogy ghee masla . Keď sa ghee maslo rozpustí, pridáme 1 ČL našej zmesi korenia Turmeric , 1 PL kurkumy a 1 PL soli. Všetko dobre premiešame. Následne vložíme aj popcornovú kukuricu a opäť premiešame, aby bola kukurica celá obalená v masle aj koreninách. Prikryjeme pokrievkou a počkáme cca 5-7 minút, kým kukurica vypuká a vzniknú pukance. Príjemný filmový zážitok a zdravé chrumkanie! Popis výrobku: Ghee maslo. Dodatočné info: Prepustené maslo bez vody, bielkovín a laktózy. Objem: 320 g Zloženie: Mliečny tuk. Alergény: Neobsahuje. Krajina pôvodu suroviny: Slovinsko",https://powerlogy.com/ghee-maslo,Powerlogy,Powerlogy,https://media.powerlogy.com/1/live/20260407135101/ghee-krem-stredny.webp,in_stock,17.95 EUR,,8588010284402,70469,,new,Zdravé potraviny > Oleje a ghee maslo > Ghee maslo,0.6,kg,https://powerlogy.com/,true,14,https://powerlogy.com/o-nakupe/vseobecne-obchodne-podmienky,true,4.91,86,SK,SK,food,ghee-maslo,in-stock,single,
16763,Powerlogy Nougat Cream 330 g,"Čerstvý nugátový krém bez palmového oleja, rafinovaného cukru a konzervantov vyrobený na Slovensku. (46,33 €/kg) Najpredávanejšie balenie chrumkavého lieskovoorieškového nugátu s kakaom • Bez lepku, mlieka a rafinovaného cukru • Vhodný pre vegetariánov a vegánov • Balenie obsahuje cca 22 porcií (1 porcia = 15 g) • Len 3,5 g cukru na jednu porciu  Popis výrobku: Lieskovoorieškový krém s pravým kakaom. Hmotnosť: 330 g Zloženie: BIO lieskové orechy (60%), BIO trstinový cukor, BIO kakaový prášok, BIO kakaová hmota. Alergény: Orechy Krajina pôvodu suroviny: Taliansko Vyrobené na: Slovensko",https://powerlogy.com/power-nougat-300g,Powerlogy,Powerlogy,https://media.powerlogy.com/1/live/20260330131408/nougat-krem-stredny.webp,in_stock,16.95 EUR,,8588010284129,70420,,new,Zdravé potraviny > Orieškové krémy a maslá > Nugátové,0.6,kg,https://powerlogy.com/,true,14,https://powerlogy.com/o-nakupe/vseobecne-obchodne-podmienky,true,4.65,182,SK,SK,food,nugátové,in-stock,single,
30090,Deortegas Organic Extra Virgin Olive Oil Frantoio 500 ml,"Vyberáme pre vás exkluzívnu selekciu BIO olivových olejov, ktoré boli ocenené na svetových súťažiach. Za studena lisované, len mechanicky spracované, extra panenské olivové oleje výraznej arómy a chuti, no extrémne nízkej kyslosti 0,1%.",https://powerlogy.com/extra-panensky-bio-olivovy-olej,Powerlogy,Powerlogy,https://media.powerlogy.com/1/live/20220128142907/olivovy-olej-novy-crop.png,in_stock,22.95 EUR,,8436530680252,70179,,new,Zdravé potraviny > Oleje a ghee maslo > Olivové oleje,0.95,kg,https://powerlogy.com/,true,14,https://powerlogy.com/o-nakupe/vseobecne-obchodne-podmienky,true,4.79,39,SK,SK,food,olivové-oleje,in-stock,single,
34072,Powerlogy Organic Coffee Strong 250 g,"Zmes výberových BIO kávovníkových zŕn 51% výberovej robusty z Indie a 49% arabiky z Peru a Etiópie, s laboratórnymi testami čistoty zloženia. (39,60 €/kg) Extra silná BIO zrnková káva s vyšším obsahom kofeínu, bez kyslosti • BIO zrnková káva s extra vyšším obsahom kofeínu • Pomaly pražená, ideálna pre domáce kávovary • Vhodné pre vegánov a histaminikov • Balenie obsahuje cca 27 porcií (1 porcia = 9 g) Vlastnosti, vďaka ktorým sa na našu kávu môžete spoľahnúť: 100 % BIO certifikácia a pestovanie bez použitia pesticídov a chemikálií. Detailné laboratórne testy na kontrolu ochratoxínov a aflatoxínov. Pomalé a šetrné praženie na stupeň medium pre silnú, ale vyváženú chuť bez kyslosti. Eliminácia prepraženia a minimalizácia AGE – Advanced Glycation Endoproducts. Čerstvosť a stabilná energia bez kyslosti a negatívnych vplyvov na žalúdok . Cieľom novej Organic Coffee Strong je ponúknuť vám najsilnejšie espresso na trhu , ktoré má čistú chuť. Výnimočná indická cherry káva robusta dodáva tejto zmesi extra kofeínovú silu , ale aj komplexné a intenzívne telo. Pri domácej príprave espressa na pákovom stroji či automate sa môžete tešiť z extra cremy. Táto zmes kávy robusta a arabika tak spĺňa tie najprísnejšie kritériá kvality pre skutočnú podporu vášho organizmu a potešenie vášho gurmánskeho jazyka. Popis výrobku: BIO pražená zrnková káva, zmes 50 % Arabiky a 50 % Robusty z ekologického poľnohospodárstva Chuťový profil: Horká čokoláda, oriešky Hmotnosť: 250 g Alergény: Neobsahuje Krajina pôvodu suroviny: El Salvador, India Vyrobené na: Slovensko",https://powerlogy.com/extra-strong-bio-250g,Powerlogy,Powerlogy,https://media.powerlogy.com/1/live/20260521113641/powerlogy-organic-coffee-strong-250.png,in_stock,12.95 EUR,,8588009019176,70253,,new,Zdravé potraviny > Káva a kakao > Káva > Extra silná káva,0.27,kg,https://powerlogy.com/,true,14,https://powerlogy.com/o-nakupe/vseobecne-obchodne-podmienky,true,4.76,46,SK,SK,food,extra-silná-káva,in-stock,single,
34146,Powerlogy Organic Coffee Strong 900 g,"Zmes výberových BIO kávovníkových zŕn 51% výberovej robusty z Indie a 49% arabiky z Peru a Etiópie, s laboratórnymi testami čistoty zloženia. Veľké balenie extra silnej BIO zrnkovej kávy s vyšším obsahom kofeínu, bez kyslosti • BIO zrnková káva s extra vyšším obsahom kofeínu • Pomaly pražená, ideálna pre domáce kávovary • Vhodné pre vegánov a histaminikov • Balenie obsahuje cca 100 porcií (1 porcia = 9 g) Vlastnosti, vďaka ktorým sa na našu kávu môžete spoľahnúť: 100 % BIO certifikácia a pestovanie bez použitia pesticídov a chemikálií. Detailné laboratórne testy na kontrolu ochratoxínov a aflatoxínov. Pomalé a šetrné praženie na stupeň medium pre silnú, ale vyváženú chuť bez kyslosti. Eliminácia prepraženia a minimalizácia AGE – Advanced Glycation Endoproducts. Čerstvosť a stabilná energia bez kyslosti a negatívnych vplyvov na žalúdok . Cieľom novej Organic Coffee Strong je ponúknuť vám najsilnejšie espresso na trhu , ktoré má čistú chuť. Výnimočná indická cherry káva robusta dodáva tejto zmesi extra kofeínovú silu , ale aj komplexné a intenzívne telo. Pri domácej príprave espressa na pákovom stroji či automate sa môžete tešiť z extra cremy. Táto zmes kávy robusta a arabika tak spĺňa tie najprísnejšie kritériá kvality pre skutočnú podporu vášho organizmu a potešenie vášho gurmánskeho jazyka. Popis výrobku: BIO pražená zrnková káva, zmes 50 % Arabiky a 50 % Robusty z ekologického poľnohospodárstva Chuťový profil: Horká čokoláda, oriešky Hmotnosť: 900 g Alergény: Neobsahuje Krajina pôvodu suroviny: El Salvador, India Vyrobené na: Slovensko",https://powerlogy.com/extra-strong-bio,Powerlogy,Powerlogy,https://media.powerlogy.com/1/live/20260521113638/powerlogy-organic-coffee-strong-900.png,in_stock,39.95 EUR,,8588009019183,70254,,new,Zdravé potraviny > Káva a kakao > Káva > Extra silná káva,1,kg,https://powerlogy.com/,true,14,https://powerlogy.com/o-nakupe/vseobecne-obchodne-podmienky,true,4.76,46,SK,SK,food,extra-silná-káva,in-stock,single,
37760,Powerlogy Pistacchio Cream 200 g,"PREMIUM PISTACCHIO krém – extra jemný pistáciový krém s olivovým olejom, kešu orechmi a štipkou citrónovej kôry z najkvalitnejších talianských ingrediencií od Dušana Plichtu, Karola Stýbla a Martina Záhumenského.",https://powerlogy.com/pistacchio-cream,Powerlogy,Powerlogy,https://media.powerlogy.com/1/live/20260330131329/gourmet-pistachio-krem-maly.webp,in_stock,17.95 EUR,,8588006514315,70080,,new,Zdravé potraviny > Orieškové krémy a maslá > Kešu,0.36,kg,https://powerlogy.com/,true,14,https://powerlogy.com/o-nakupe/vseobecne-obchodne-podmienky,true,4.89,296,SK,SK,food,kešu,in-stock,single,
